Id,Values_Code,Values_Name,Values_Activity,Values_OperStartdate,Values_State,Date
Sistema,SPRG,ESPROD ENERGY S.A.S. E.S.P.,GENERACIÓN,2026-08-18,OPERACION,2026-08-20
Sistema,SPRC,ESPROD ENERGY S.A.S. E.S.P.,COMERCIALIZACIÓN,2026-08-18,OPERACION,2026-08-20
Sistema,MEXC,MINEX ENERGY S.A.S. E.S.P.,COMERCIALIZACIÓN,2026-08-12,OPERACION,2026-08-20
Sistema,SOUG,SOUL ENERGY SAS ESP,GENERACIÓN,2026-07-28,OPERACION,2026-08-20
Sistema,PSWG,PARQUE SOLAR FOTOVOLTAICO WIMKE S.A.S. E.S.P.,GENERACIÓN,2026-07-28,OPERACION,2026-08-20
Sistema,CASC,EMPRESA DE ENERGIA DE CASANARE S.A. ESP,COMERCIALIZACIÓN,2026-07-23,OPERACION,2026-08-20
Sistema,CASD,EMPRESA DE ENERGIA DE CASANARE S.A. ESP,DISTRIBUCIÓN,2026-07-23,OPERACION,2026-08-20
Sistema,ATEM,ENERGIA ATENEA S.A.S E.S.P,CENTRO RECOLECCIÓN,2026-07-16,OPERACION,2026-08-20
Sistema,BTGC,BTG PACTUAL COMMODITIES COLOMBIA S.A.S. E.S.P.,COMERCIALIZACIÓN,2026-07-14,OPERACION,2026-08-20
Sistema,ATEC,ENERGIA ATENEA S.A.S E.S.P,COMERCIALIZACIÓN,2026-07-07,OPERACION,2026-08-20
Sistema,ATED,ENERGIA ATENEA S.A.S E.S.P,DISTRIBUCIÓN,2026-07-07,OPERACION,2026-08-20
Sistema,PSAG,PARQUE SOLAR ANDRÓMEDA I S.A.S. E.S.P,GENERACIÓN,2026-06-11,OPERACION,2026-08-20
Sistema,BEIG,BEAM ENERGY INNOVATION S.A.S. E.S.P.,GENERACIÓN,2026-05-27,OPERACION,2026-08-20
Sistema,GCOC,GENERCOL S.A.S. E.S.P. ZOMAC,COMERCIALIZACIÓN,2026-05-21,OPERACION,2026-08-20
Sistema,GADM,GADIZ UTILITY SAS ESP,CENTRO RECOLECCIÓN,2026-05-12,OPERACION,2026-08-20
Sistema,TEMG,TERMOEMCALI I S.A E.S.P,GENERACIÓN,2026-04-22,OPERACION,2026-08-20
Sistema,EASC,ENERGY ASSET SAS ESP,COMERCIALIZACIÓN,2026-04-22,OPERACION,2026-08-20
Sistema,EANC,EMPRESA DE ENERGIA ANDES SAS ESP,COMERCIALIZACIÓN,2026-04-21,OPERACION,2026-08-20
Sistema,BCHG,BCCY COLOMBIA HOLDING SAS ESP,GENERACIÓN,2026-04-21,OPERACION,2026-08-20
Sistema,GADG,GADIZ UTILITY SAS ESP,GENERACIÓN,2026-04-07,OPERACION,2026-08-20
Sistema,WSLG,WILCHES SOLAR 1 S.A.S. E.S.P.,GENERACIÓN,2026-03-26,OPERACION,2026-08-20
Sistema,CDIM,CENTRALES ELECTRICAS DEL CAUCA S.A. E.S.P.,CENTRO RECOLECCIÓN,2026-03-26,OPERACION,2026-08-20
Sistema,KEMC,KEM ENERGY S.A.S. E.S.P.,COMERCIALIZACIÓN,2026-03-18,OPERACION,2026-08-20
Sistema,TCBC,TERMO CARIBE S.A.S. E.S.P.,COMERCIALIZACIÓN,2026-03-17,OPERACION,2026-08-20
Sistema,PSBG,PCH SAN BARTOLOME S.A.S. E.S.P.,GENERACIÓN,2026-02-25,OPERACION,2026-08-20
Sistema,NESC, NES TRADING S.A.S. E.S.P.,COMERCIALIZACIÓN,2026-02-24,OPERACION,2026-08-20
Sistema,NTCG,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,GENERACIÓN,2026-02-19,OPERACION,2026-08-20
Sistema,SLUG,SPK LA UNIÓN S.A.S. E.S.P.,GENERACIÓN,2026-02-13,OPERACION,2026-08-20
Sistema,SLMG,SPK LA MATA S.A.S E.S.P,GENERACIÓN,2026-02-13,OPERACION,2026-08-20
Sistema,SOEC,COREX ENERGY S.A.S. E.S.P.,COMERCIALIZACIÓN,2026-01-30,OPERACION,2026-08-20
Sistema,SOEG,COREX ENERGY S.A.S. E.S.P.,GENERACIÓN,2026-01-30,OPERACION,2026-08-20
Sistema,SNCG,SUNCOLOMBIA GENERACIÓN S.A.S E.S.P,GENERACIÓN,2026-01-09,OPERACION,2026-08-20
Sistema,TUSC,ALTUS ENERGY S.A.S E.S.P,COMERCIALIZACIÓN,2025-12-17,OPERACION,2026-08-20
Sistema,ECNG,ECOGENERATION S.A.S. E.S.P.,GENERACIÓN,2025-12-04,OPERACION,2026-08-20
Sistema,CEMC,CEM - COMPAÑIA ENERGETICA MULTIREGIONAL S.A.S. E.S.P.,COMERCIALIZACIÓN,2025-12-04,OPERACION,2026-08-20
Sistema,ECNC,ECOGENERATION S.A.S. E.S.P.,COMERCIALIZACIÓN,2025-12-01,OPERACION,2026-08-20
Sistema,CVLC,COMERCIALIZADORA DE ENERGÍA VITALUZ S.A.S. E.S.P,COMERCIALIZACIÓN,2025-12-01,OPERACION,2026-08-20
Sistema,CNXT,CONEXIÓN Y GESTIÓN DE ACTIVOS S.A.S. E.S.P. CONEXSIS S.A.S. E.S.P,TRANSPORTE,2025-10-27,OPERACION,2026-08-20
Sistema,GYPG,GREENDIPITY SAS BIC ESP,GENERACIÓN,2025-10-23,OPERACION,2026-08-20
Sistema,SOCC,COMPAÑÍA ELÉCTRICA DE SOCHAGOTA  S.A.S. E.S.P.,COMERCIALIZACIÓN,2025-10-22,OPERACION,2026-08-20
Sistema,SUNG,SUNO S.A.S. ESP,GENERACIÓN,2025-10-15,OPERACION,2026-08-20
Sistema,RTQG,RUITOQUE S.A. E.S.P.,GENERACIÓN,2025-10-02,OPERACION,2026-08-20
Sistema,EPRC,EPRING ENERGY SAS ESP,COMERCIALIZACIÓN,2025-10-02,OPERACION,2026-08-20
Sistema,RTAM,SPECTRUM RENOVAVEIS S.A.S. E.S.P.,CENTRO RECOLECCIÓN,2025-10-01,INACTIVO,2026-08-20
Sistema,TEMM,TERMOEMCALI I S.A. E.S.P.,CENTRO RECOLECCIÓN,2025-10-01,INACTIVO,2026-08-20
Sistema,ELGC,E.L.E.C. GREEN S.A.S. E.S.P.,COMERCIALIZACIÓN,2025-09-30,OPERACION,2026-08-20
Sistema,FCLC,FACTOR LUZ S.A.S. E.S.P.,COMERCIALIZACIÓN,2025-09-26,OPERACION,2026-08-20
Sistema,GSYC,GENERSYS S.A.S. E.S.P.,COMERCIALIZACIÓN,2025-09-25,OPERACION,2026-08-20
Sistema,EVTG,ENERVOLTIO SAS ESP,GENERACIÓN,2025-09-23,OPERACION,2026-08-20
Sistema,EREC,COMERCIALIZADORA DE ENERGÍAS RENOVABLES GREEN ENERGY S.A.S - E.S.P,COMERCIALIZACIÓN,2025-09-09,OPERACION,2026-08-20
Sistema,MCEC,MCI ENERGY S.A.S E.S.P,COMERCIALIZACIÓN,2025-09-05,OPERACION,2026-08-20
Sistema,BIAG,BIA ENERGY S.A.S. E.S.P,GENERACIÓN,2025-09-05,OPERACION,2026-08-20
Sistema,CTIC,EMPRESAS MUNICIPALES DE CARTAGO S.A.S. E.S.P.,COMERCIALIZACIÓN,2025-09-02,OPERACION,2026-08-20
Sistema,CTID,EMPRESAS MUNICIPALES DE CARTAGO S.A.S. E.S.P.,DISTRIBUCIÓN,2025-09-02,OPERACION,2026-08-20
Sistema,LATC,EMPRESA DESARROLLO ENÉRGETICO NACIONAL SOCIEDAD DE ECONOMIA MIXTA SAS E.S.P.,COMERCIALIZACIÓN,2025-08-29,OPERACION,2026-08-20
Sistema,BCHC,BCCY COLOMBIA HOLDING SAS ESP,COMERCIALIZACIÓN,2025-08-26,OPERACION,2026-08-20
Sistema,XAFC,GREENYELLOW JEQUES S.A.S E.S.P,COMERCIALIZACIÓN,2025-08-25,INACTIVO,2026-08-20
Sistema,XAFG,GREENYELLOW JEQUES S.A.S E.S.P,GENERACIÓN,2025-08-25,INACTIVO,2026-08-20
Sistema,SOCG,COMPAÑÍA ELÉCTRICA DE SOCHAGOTA  S.A.S. E.S.P.,GENERACIÓN,2025-08-15,OPERACION,2026-08-20
Sistema,NEXG,NEXTGY S.A.S. E.S.P.,GENERACIÓN,2025-08-14,OPERACION,2026-08-20
